,0
/en/library/transcripts/660822le-new-york/,[[]]
/en/library/transcripts/660824bg-new-york/,"[['[Bg 5.3]', '[Bg 5.29]', '[Bg 18.66]', '[Bg 18.66]', '[Bg 5.3]', '[Bg 5.4]', '[Bg 10.11]', '[Bg 9.29]', '[Bg 5.4]', '[Bg 16.23]', '[Bg 5.5]', '[Bg 5.5]', '[Bg 5.6]', '[Bg 5.6]', '[Bg 5.7]', '[SB 12.3.52]']]"
/en/library/transcripts/660826bg-new-york/,"[['[Bg 5.7]', '[Bg 5.6]', '[Bg 18.54]', '[Bg 5.7]', '[Bg 5.8]', '[Bg 5.8]', '[Bg 5.9]', '[Bg 5.10]', '[Bg 5.11]', '[Bg 5.12]', '[Bg 5.13]', '[Bg 5.14]']]"
/en/library/transcripts/660829bg-new-york/,"[['[Bg 5.14]', '[Bg 5.14]', '[Bg 5.15]', '[Bg 5.16]', '[Bg 13.9]', '[Bg 5.16]', '[Bg 5.17]', '[Bg 5.18]', '[Bg 5.19]', '[Bg 7.27]', '[Bg 5.19]', '[Bg 5.20]', '[Bg 5.20]', '[Bg 5.20]', '[Bg 5.21]', '[Bg 2.14]', '[Bg 5.22]', '[Bg 5.22]', '[SB 7.9.45]']]"
/en/library/transcripts/660831bg-new-york/,"[['[Bg 5.22]', '[Bg 5.23]', '[Bg 5.24]', '[Bg 5.25]', '[Bg 9.2]', '[Bg 5.26]', '[Bg 5.26]', '[Bg 5.27]', '[Bg 5.28]', '[Bg 6.22]', '[Bg 5.29]', '[Bg 5.29]', '[Bg 5.29]', '[Bg 5.29]', '[Bg 5.29]', '[Bg 2.7]', '[Bg 5.29]', '[SB 5.5.1]', '[SB 5.18.12]']]"
/en/library/transcripts/660902bg-new-york/,"[['[Bg 6.1]', '[Bg 7.19]', '[Bg 7.19]', '[Bg 6.2]', '[Bg 6.47]', '[Bg 6.3]', '[Bg 6.4]']]"
/en/library/transcripts/660905bg-new-york/,"[['[Bg 6.4]', '[Bg 6.5]', '[Bg 6.6]', '[Bg 6.6]', '[Bg 2.62]', '[Bg 2.11]', '[Bg 15.7]', '[Bg 6.7]', '[Bg 6.8]', '[Bg 18.61]', '[Bg 6.7]', '[Bg 2.14]', '[Bg 6.8]', '[Bg 6.9]', '[Bg 5.18]', '[Bg 6.10]', '[Bg 6.11]', '[Bg 6.12]', '[SB 11.26.26]', '[SB 10.84.13]', '[SB 5.18.12]', '[SB 9.4.18]']]"
/en/library/transcripts/660907bg-new-york/,"[['[Bg 6.11]', '[Bg 6.12]', '[Bg 6.13]', '[Bg 6.14]', '[Bg 6.14]', '[Bg 6.15]', '[Bg 6.16]', '[Bg 6.17]', '[Bg 6.18]', '[Bg 6.19]', '[Bg 6.20]', '[Bg 6.21]', '[Bg 6.21]', '[SB 7.5.23]', '[SB 12.3.52]', '[SB 9.19.17]', '[SB 9.19.17]']]"
/en/library/transcripts/660914bg-new-york/,"[['[Bg 6.21]', '[Bg 6.21]', '[Bg 6.22]', '[Bg 6.22]', '[Bg 2.14]', '[Bg 6.22]', '[Bg 6.23]', '[Bg 6.24]', '[Bg 6.24]', '[Bg 6.25]', '[Bg 8.7]', '[Bg 6.26]', '[Bg 6.26]', '[Bg 6.27]', '[Bg 5.29]', '[Bg 6.27]', '[SB 11.2.42]', '[SB 10.14.58]']]"
/en/library/transcripts/660916bg-new-york/,"[['[Bg 6.32]', '[Bg 6.33]', '[Bg 6.34]', '[Bg 4.3]', '[Bg 6.34]', '[Bg 9.13]', '[Bg 9.14]', '[Bg 6.35]', '[Bg 6.37]', '[Bg 7.3]', '[Bg 6.38]', '[Bg 6.38]', '[Bg 6.39]', '[Bg 4.2]', '[Bg 6.40]', '[Bg 2.40]', '[SB 9.4.18]', '[SB 12.3.52]', '[SB 12.3.52]']]"
